id;score;monedas;fecha;intentos
1;ability Hat Iraq;48482;2019-11-13T13:35:03;69243
2;encompassing;24412;2019-11-12T20:17:06;16829
3;sky blue;55810;2019-11-13T02:02:32;40383
4;Tasty Concrete Chips Exclusive;69630;2019-11-13T06:58:51;71227
5;Plastic;99774;2019-11-13T18:01:46;26678
6;Analyst paradigms;3305;2019-11-13T12:13:38;34507
7;deposit Canadian Dollar Lebanon;44778;2019-11-12T19:15:33;55289
8;Credit Card Account;8085;2019-11-13T00:38:09;36965
9;Re-contextualized;80313;2019-11-13T10:05:16;47030
10;Orchestrator deliver;81643;2019-11-13T16:44:52;79834
